date,        Domestic,        Foreign,        Subsidies,        Transfers Abroad,        Transfers To Households,        Transfers To Local Governments,        Transfers To Nonprofit Institutions,      Acquisition of Capital Assets,      Capital Transfers,      Expen. on Goods and Services,      Interest Payments,      NFPE Special Acct＇s Capital Exp.,      NFPE Special Acct＇s Current Exp.,      Purchases of Land & Intangible Assets,      Purchases of Stocks,      Subsidies & Other Current Transfers,    Capital Expenditure,    Current Expenditure,    Income. Profits & Capital Gains,    Tax on Goods & Services(incl. V.A.T),    Taxes on Property,  Non-tax Revenue,  Social Security Contributions,  Total Expenditure,  Total Tax Revenues,Balance,Capital Revenue,Current Revenues,Net Lending(incl. Net Acquisition),Total Exp. & Net Lending,Total Revenues
2018/01,366.0,0.0,9.0,38.0,"6,468.0","14,949.0","5,693.0",188.0,794.0,"4,398.0",366.0,1.0,461.0,76.0,0.0,"27,157.0","1,060.0","32,382.0","10,128.0","20,851.0","1,113.0","7,261.0","4,804.0","33,442.0","36,560.0","15,048.0",130.0,"48,625.0",265.0,"33,706.0","48,754.0"
2018/02,561.0,0.0,65.0,158.0,"13,583.0","29,086.0","11,830.0",774.0,"3,303.0","10,467.0",561.0,7.0,715.0,235.0,0.0,"54,721.0","4,319.0","66,465.0","19,327.0","21,170.0","2,837.0","13,645.0","9,625.0","70,783.0","49,925.0",877.0,213.0,"73,195.0","1,748.0","72,531.0","73,408.0"
2018/03,"3,260.0",0.0,78.0,370.0,"20,526.0","41,307.0","18,137.0","1,973.0","5,779.0","17,612.0","3,260.0",17.0,"1,159.0",560.0,0.0,"80,419.0","8,329.0","102,449.0","41,395.0","24,267.0","4,206.0","20,172.0","15,245.0","110,779.0","78,810.0","-1,766.0",404.0,"114,228.0","5,619.0","116,397.0","114,632.0"
2018/04,"3,494.0",0.0,146.0,484.0,"26,503.0","63,163.0","24,175.0","2,484.0","7,892.0","23,076.0","3,494.0",26.0,"1,378.0",661.0,0.0,"114,470.0","11,063.0","142,417.0","49,625.0","43,625.0","5,430.0","28,881.0","21,573.0","153,480.0","109,828.0",244.0,515.0,"160,283.0","7,074.0","160,554.0","160,798.0"
2018/05,"3,694.0",0.0,211.0,665.0,"32,668.0","77,546.0","28,101.0","3,047.0","9,551.0","27,948.0","3,694.0",44.0,"1,442.0",716.0,0.0,"139,191.0","13,359.0","172,275.0","75,689.0","45,167.0","6,672.0","33,655.0","27,772.0","185,634.0","140,709.0","8,670.0",656.0,"202,136.0","8,489.0","194,123.0","202,793.0"
2018/06,"6,881.0",0.0,246.0,738.0,"39,001.0","90,888.0","32,114.0","4,892.0","11,285.0","35,767.0","6,881.0",71.0,"1,514.0","1,013.0",0.0,"162,988.0","17,261.0","207,149.0","84,905.0","49,758.0","7,917.0","39,780.0","32,985.0","224,411.0","157,186.0","-3,520.0",993.0,"229,951.0","10,053.0","234,463.0","230,943.0"
2018/07,"7,238.0",0.0,305.0,917.0,"45,384.0","103,198.0","37,055.0","5,327.0","12,282.0","40,583.0","7,238.0",86.0,"1,489.0","1,079.0",0.0,"186,859.0","18,774.0","236,169.0","93,966.0","70,712.0","9,100.0","46,684.0","38,039.0","254,943.0","190,198.0","9,220.0","1,166.0","274,921.0","11,925.0","266,868.0","276,088.0"
2018/08,"7,488.0",0.0,363.0,967.0,"51,281.0","113,876.0","39,458.0","5,762.0","13,027.0","44,801.0","7,488.0",113.0,"1,539.0","1,124.0",0.0,"205,945.0","20,026.0","259,773.0","114,371.0","70,437.0","10,275.0","51,421.0","43,587.0","279,799.0","213,217.0","15,993.0","1,241.0","308,225.0","13,674.0","293,473.0","309,467.0"
2018/09,"10,324.0",0.0,405.0,"1,098.0","58,088.0","125,028.0","41,715.0","6,473.0","13,907.0","50,624.0","10,324.0",137.0,"1,640.0","1,187.0",0.0,"226,333.0","21,703.0","288,921.0","128,217.0","74,815.0","11,256.0","55,628.0","48,638.0","310,624.0","233,691.0","14,031.0","1,652.0","337,956.0","14,954.0","325,578.0","339,609.0"
2018/10,"10,624.0",0.0,459.0,"1,171.0","63,883.0","135,831.0","44,730.0","6,871.0","15,030.0","55,129.0","10,624.0",156.0,"1,862.0","1,306.0",0.0,"246,075.0","23,364.0","313,690.0","137,087.0","93,311.0","12,160.0","61,837.0","53,962.0","337,054.0","263,410.0","28,653.0","1,907.0","379,208.0","15,409.0","352,462.0","381,115.0"
2018/11,"10,862.0",0.0,512.0,"1,283.0","69,567.0","138,418.0","46,849.0","7,509.0","16,129.0","60,056.0","10,862.0",178.0,"2,121.0","1,393.0",0.0,"256,629.0","25,209.0","329,668.0","148,397.0","95,727.0","13,295.0","67,088.0","59,520.0","354,877.0","279,901.0","37,409.0","2,129.0","406,508.0","16,352.0","371,229.0","408,637.0"
2018/12,"14,287.0",0.0,601.0,"1,438.0","76,591.0","142,055.0","51,394.0","9,826.0","17,693.0","71,459.0","14,287.0",257.0,"2,350.0","1,659.0",0.0,"272,080.0","29,434.0","360,176.0","155,399.0","99,056.0","15,473.0","77,134.0","64,854.0","389,610.0","293,570.0","31,163.0","2,703.0","435,558.0","17,489.0","407,099.0","438,262.0"
2019/01,196.0,0.0,65.0,130.0,"6,779.0","17,412.0","8,031.0",357.0,"1,772.0","5,842.0",196.0,7.0,845.0,123.0,0.0,"32,417.0","2,259.0","39,301.0","10,890.0","20,682.0",871.0,"6,719.0","5,174.0","41,559.0","37,083.0","6,893.0",124.0,"48,976.0",647.0,"42,206.0","49,100.0"
2019/02,498.0,0.0,123.0,253.0,"14,034.0","34,502.0","16,074.0","1,011.0","4,174.0","10,439.0",498.0,10.0,"1,044.0",274.0,0.0,"64,986.0","5,469.0","76,967.0","20,299.0","20,034.0","2,416.0","13,071.0","10,375.0","82,436.0","49,173.0","-11,804.0",468.0,"72,619.0","2,455.0","84,891.0","73,087.0"
